cheapestFlight
"{date:11/21/2015 05:07:50,duration:90,distance:566,airline:20304,class:economy,price:447.0}"
"{date:11/1/2015 15:42:37,duration:40,distance:196,airline:20304,class:economy,price:156.75}"
"{date:11/30/2015 17:30:21,duration:47,distance:177,airline:19977,class:economy,price:144.0}"
"{date:11/3/2015 19:37:59,duration:101,distance:590,airline:20304,class:economy,price:467.25}"
"{date:11/29/2015 00:56:44,duration:174,distance:1190,airline:19977,class:economy,price:936.0}"
"{date:11/4/2015 15:09:13,duration:84,distance:677,airline:20304,class:economy,price:528.75}"
"{date:11/12/2015 15:22:50,duration:41,distance:113,airline:20304,class:economy,price:94.5}"
"{date:11/29/2015 04:31:15,duration:300,distance:2327,airline:19977,class:economy,price:1820.25}"
"{date:11/13/2015 16:08:05,duration:38,distance:201,airline:20304,class:economy,price:159.75}"
"{date:11/29/2015 03:57:27,duration:53,distance:334,airline:19977,class:economy,price:263.25}"
"{date:11/24/2015 13:28:12,duration:142,distance:1107,airline:20304,class:economy,price:865.5}"
"{date:11/12/2015 09:06:34,duration:34,distance:144,airline:20304,class:economy,price:116.25}"
"{date:11/28/2015 10:44:22,duration:82,distance:409,airline:20304,class:economy,price:327.0}"
"{date:11/30/2015 15:13:59,duration:84,distance:550,airline:19977,class:economy,price:433.5}"
"{date:11/29/2015 03:37:55,duration:131,distance:948,airline:19977,class:economy,price:743.25}"
"{date:11/29/2015 15:18:22,duration:269,distance:2611,airline:19977,class:economy,price:2025.0}"
"{date:11/22/2015 23:46:44,duration:37,distance:196,airline:20304,class:economy,price:156.0}"
"{date:11/30/2015 05:41:51,duration:102,distance:867,airline:19977,class:economy,price:675.75}"
"{date:11/25/2015 07:08:38,duration:32,distance:137,airline:20304,class:economy,price:110.25}"
"{date:11/6/2015 16:43:30,duration:38,distance:201,airline:20304,class:economy,price:159.75}"
"{date:11/29/2015 08:51:26,duration:136,distance:1201,airline:20304,class:economy,price:934.5}"
"{date:11/30/2015 18:53:40,duration:337,distance:2565,airline:19977,class:economy,price:2007.75}"
"{date:11/29/2015 23:49:58,duration:72,distance:524,airline:19977,class:economy,price:411.0}"
"{date:11/16/2015 21:08:34,duration:26,distance:113,airline:20304,class:economy,price:90.75}"
"{date:11/30/2015 16:19:03,duration:165,distance:1416,airline:19977,class:economy,price:1103.25}"
"{date:11/30/2015 04:19:34,duration:215,distance:1739,airline:19977,class:economy,price:1357.5}"
"{date:11/8/2015 02:52:41,duration:74,distance:456,airline:20304,class:economy,price:360.0}"
"{date:11/25/2015 02:04:22,duration:79,distance:574,airline:20304,class:economy,price:450.0}"
"{date:11/30/2015 13:20:16,duration:145,distance:1379,airline:19977,class:economy,price:1070.25}"
"{date:11/29/2015 12:19:10,duration:131,distance:967,airline:19977,class:economy,price:757.5}"
"{date:11/29/2015 14:54:07,duration:215,distance:1546,airline:19977,class:economy,price:1212.75}"
"{date:11/29/2015 22:53:04,duration:102,distance:588,airline:19977,class:economy,price:466.5}"
"{date:11/30/2015 02:43:30,duration:121,distance:967,airline:19977,class:economy,price:755.25}"
"{date:11/22/2015 20:03:21,duration:72,distance:409,airline:20304,class:economy,price:324.75}"
"{date:11/29/2015 07:19:35,duration:241,distance:1744,airline:19977,class:economy,price:1368.0}"
"{date:11/30/2015 11:31:09,duration:112,distance:967,airline:19977,class:economy,price:753.0}"
"{date:11/25/2015 21:27:24,duration:67,distance:449,airline:20304,class:economy,price:353.25}"
"{date:11/9/2015 11:14:16,duration:36,distance:201,airline:20304,class:economy,price:159.75}"
"{date:11/29/2015 13:53:54,duration:80,distance:628,airline:19977,class:economy,price:490.5}"
